Accession	Taxonomy
LC259315.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_06-10
LC259318.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_09-1
LC259319.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_09-2
LC259322.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_10-2
LC259323.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_10-2b
LC259325.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_11-2
LC259326.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_11-6
LC259327.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_12-2
LC259328.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_13-1
LC259329.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_13-4
LC259330.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_13-5
LC259332.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_14-2
LC259345.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_19-6
LC259346.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_20-1
LC259350.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_22-1
LC259360.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_09-2
LC259361.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_09-3
LC259362.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_09-4
LC259387.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_16-1
LC259438.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_63-4
LC259344.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_19-5
LC259443.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_79-4
LC259371.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_02-2
LC259372.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_02-3
LC259373.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_02-4
LC259395.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_24-1
LC259396.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_24-2
KR025409.1	Entamoeba_sp._RL11_isolate_KF3_18S_ribosomal_RNA_gene,_partial_sequence
LC259353.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_06-1
LC259354.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_06-9
LC259355.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_07-1
LC259356.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_07-5
LC259357.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_07-6
LC259358.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_07-8
LC259363.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_10-1
LC259364.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_10-3
LC259365.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_11-3
LC259366.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_11-5
LC259367.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_13-5
LC259369.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_14-3
LC259370.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_14-4
LC259368.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_14-2
FR686398.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE7
FR686393.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE10
FR686400.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE9
LC259400.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_27-4
LC259416.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-17
LC082304.1	Entamoeba_polecki_gene_for_18S_ribosomal_RNA,_partial_sequence,_isolate:_IMN
LC259427.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_61-2
LC259428.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_61-4
LC259377.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_04-1
LC259406.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_47-1
LC259407.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_47-2
LC259408.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_47-3
LC259409.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_47-4
LC259341.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_18-6
LC259333.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_15-2
FR686392.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE1
FR686394.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE11
LC230017.1	Entamoeba_polecki_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_SZM-1
LC230018.1	Entamoeba_polecki_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-1
FR686397.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE5
FR686395.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE2
KR025406.1	Entamoeba_sp._RL8_isolate_Cow5_18S_ribosomal_RNA_gene,_partial_sequence
LC230016.1	Entamoeba_polecki_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-5
KP722600.1	Entamoeba_dispar_isolate_ED_IQ5_18S_ribosomal_RNA_gene,_partial_sequence
LC259433.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-15
LC259434.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-17
LC259343.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_18-8
LC259429.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-1
KP722602.1	Entamoeba_moshkovskii_isolate_EM_IQ2_18S_ribosomal_RNA_gene,_partial_sequence
LC259415.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-16
LC259414.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-15
LC259417.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-18
LC259398.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_26-3
LC259397.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_24-3
LC259314.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_06-2
LC259316.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_08-1
LC259317.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_08-7
LC259324.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_11-1
LC259334.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_15-3
LC259335.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_15-4
LC259336.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_16-1
LC259337.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_16-2
LC259338.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_16-3
LC259339.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_17-2
LC259340.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_17-3
LC259342.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_18-7
LC259351.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_22-2
LC259352.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_22-3
LC259348.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_21-2
LC259432.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-14
KP722598.1	Entamoeba_dispar_isolate_ED_IQ3_18S_ribosomal_RNA_gene,_partial_sequence
KP233839.1	Entamoeba_histolytica_isolate_EH_IQ4_18S_ribosomal_RNA_gene,_partial_sequence
KP233840.1	Entamoeba_histolytica_isolate_EH_IQ5_18S_ribosomal_RNA_gene,_partial_sequence
KP722603.1	Entamoeba_moshkovskii_isolate_EM_IQ3_18S_ribosomal_RNA_gene,_partial_sequence
KP722605.1	Entamoeba_moshkovskii_isolate_EM_IQ5_18S_ribosomal_RNA_gene,_partial_sequence
KP722601.1	Entamoeba_moshkovskii_isolate_EM_IQ1_18S_ribosomal_RNA_gene,_partial_sequence
KP233837.1	Entamoeba_histolytica_isolate_EH_IQ2_18S_ribosomal_RNA_gene,_partial_sequence
KP722599.1	Entamoeba_dispar_isolate_ED_IQ4_18S_ribosomal_RNA_gene,_partial_sequence
KP722596.1	Entamoeba_dispar_isolate_ED_IQ1_18S_ribosomal_RNA_gene,_partial_sequence
KP233836.1	Entamoeba_histolytica_isolate_EH_IQ1_18S_ribosomal_RNA_gene,_partial_sequence
KP722604.1	Entamoeba_moshkovskii_isolate_EM_IQ4_18S_ribosomal_RNA_gene,_partial_sequence
KP722597.1	Entamoeba_dispar_isolate_ED_IQ2_18S_ribosomal_RNA_gene,_partial_sequence
LC259349.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_21-3
LC259379.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_07-2
LC259388.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_17-1
LC259399.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_27-2
LC082305.1	Entamoeba_polecki_gene_for_18S_ribosomal_RNA,_partial_sequence,_isolate:_IPIG
KP233838.1	Entamoeba_histolytica_isolate_EH_IQ3_18S_ribosomal_RNA_gene,_partial_sequence
FR686383.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_J136
FR686375.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM043
FR686380.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM062
FR686381.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM065a
KR025407.1	Entamoeba_sp._RL9_isolate_PO1_18S_ribosomal_RNA_gene,_partial_sequence
FR686415.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM051
FR686421.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM057
FR686411.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM044
FR686413.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM049
FR686418.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM054
FR686412.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM045
FR686440.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM047
FR686444.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM071
FR686408.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_19885
FR686422.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM061
FR686441.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM063
FR686443.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM070
FR686445.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM072
FR686404.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_12093
FR686407.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_28287
FR686417.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM053
FR686419.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM055
FR686420.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM056
FR686425.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM066
FR686427.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM069
FR686428.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM073
FR686429.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM074
FR686430.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM075
FR686431.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM077
FR686432.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM078
FR686436.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_J147
FR686437.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_J52
FR686446.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM076
FR686402.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_3954
FR686403.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_3968
FR686406.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_28305
FR686414.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM050
FR686416.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM052
FR686423.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM064
FR686426.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM067
FR686435.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_J134
FR686390.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE6
X89636.1	E.histolytica_DNA_for_18S_ribosomal_RNA_gene_(partial)
FR686442.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM068
FR686439.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_A841
FR686434.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_J10
MF662806.1	Entamoeba_invadens_strain_16-30_18S_ribosomal_RNA_gene,_partial_sequence
JX131936.1	Uncultured_Entamoeba_clone_CEss249_18S_ribosomal_RNA_gene,_partial_sequence
JX131943.1	Uncultured_Entamoeba_clone_CEss256_18S_ribosomal_RNA_gene,_partial_sequence
JX131944.1	Uncultured_Entamoeba_clone_CEss257_18S_ribosomal_RNA_gene,_partial_sequence
JX131952.1	Uncultured_Entamoeba_clone_CEss265_18S_ribosomal_RNA_gene,_partial_sequence
JX131954.1	Uncultured_Entamoeba_clone_CEss267_18S_ribosomal_RNA_gene,_partial_sequence
